YR MO DY HRMN SEC LATITUDE LONGITUDE DEPTH MAG FAMILY
1998 6 3 0522 50.43 34.13865 -118.49086 9.02 3.02 NaN
1998 6 4 0607 2.58 33.44755 -116.8491 11.98 3.7 NaN
1998 6 5 0140 3.62 33.86471 -117.8747 6.341 2.71 NaN
1998 6 5 0843 39.36 34.05595 -117.23912 17.961 2.53 NaN
1998 6 5 0856 18.45 33.79733 -120.05183 2.22 2.73 NaN
1998 6 6 0127 39.48 31.94077 -115.81499 5.982 2.64 1596
1998 6 6 2027 3.06 36.06984 -117.83539 3.721 2.51 1597
1998 6 7 0927 5.76 36.07072 -117.83477 3.831 2.75 1597
1998 6 7 1721 6.54 36.4465 -120.30833 9.21 2.61 NaN
1998 6 8 1608 5.96 36.10084 -117.59353 5.452 3.9 1493
1998 6 8 1611 3.47 36.10052 -117.59454 5.292 2.66 1493
1998 6 8 1720 54.94 35.92492 -117.76383 8.741 3.02 1493
1998 6 8 1738 18.15 35.92585 -117.76188 8.759 2.91 1493
1998 6 8 1849 7.29 31.961 -114.83717 26.39 3.2 NaN
1998 6 9 0215 46.65 36.10079 -117.5952 4.798 2.62 1493
1998 6 9 0514 44.65 36.07858 -117.62862 2.94 3.18 1493
1998 6 10 1301 22.29 36.09912 -117.59502 6.466 2.53 1493
1998 6 11 1100 59.37 31.94726 -115.81673 6.436 2.56 NaN
1998 6 11 2157 12.7 36.32431 -120.43921 1.002 2.52 1598
1998 6 12 0632 33.56 36.32386 -120.43829 0.998 3.23 1598
1998 6 12 0704 58.93 36.31883 -120.46067 15.48 3.09 1598
1998 6 14 1733 4.27 33.05633 -117.96633 19.451 3.7 NaN
1998 6 15 0455 5.29 33.66628 -117.91956 8.536 2.72 NaN
1998 6 15 0907 19.01 34.29899 -116.45607 7.358 2.67 1566
1998 6 16 1149 21.98 32.62266 -116.07175 7.576 2.97 1599
1998 6 16 1542 30.36 33.35247 -116.25802 13.1 3.28 NaN
1998 6 16 2207 8.91 33.75817 -120.051 2.21 2.77 NaN
1998 6 17 0319 21.7 34.27236 -116.95882 9.746 3.03 1600
1998 6 17 0339 40.39 33.856 -120.07233 3.46 2.56 NaN
1998 6 17 0345 36.99 34.27139 -116.95975 9.782 3.26 1600
1998 6 17 0636 53.79 34.04 -116.90294 18.07 2.82 NaN
1998 6 17 1851 10.77 34.28041 -118.58276 8.973 3.2 1601
1998 6 17 1851 32.28 34.28184 -118.58102 8.92 3.88 1601
1998 6 18 2157 7.44 34.48829 -116.45623 8.921 2.56 NaN
1998 6 21 1840 24.49 33.93757 -116.35533 5.65 2.88 NaN
1998 6 22 0007 53.67 34.04564 -116.64599 10.907 3.61 NaN
1998 6 22 1019 55.84 32.62179 -116.07308 7.311 2.57 1599
1998 6 23 0633 8.05 35.74125 -117.55226 10.748 2.68 NaN
1998 6 23 0913 28.64 32.62299 -116.07375 7.304 2.85 1599
1998 6 24 0933 6.48 34.04792 -119.09322 7.696 3 NaN
1998 6 24 1640 19.1 32.3391 -115.33993 10.611 2.61 1602
1998 6 24 1724 2.91 32.33884 -115.33985 10.375 2.87 1602
1998 6 25 0332 52.49 33.17434 -116.10539 11.097 2.76 NaN
1998 6 25 0930 23.86 32.33887 -115.33967 10.633 2.54 1602
1998 6 25 2033 3.74 37.48935 -118.94341 3.483 3.25 1603
1998 6 25 2036 51.87 37.49024 -118.94439 3.776 2.69 1603
1998 6 25 2037 31.25 37.49011 -118.94297 4.083 3.21 1603
1998 6 26 1216 55.08 36.11833 -119.96917 10.08 2.88 NaN
1998 6 26 1655 47.63 33.0287 -115.8685 8.58 3.89 NaN
1998 6 27 2013 59.06 37.48888 -118.94882 7.118 3 1603
1998 6 28 0809 45.1 37.4892 -118.94727 5.215 2.77 1603
1998 6 29 0104 11.1 33.99955 -118.69656 13.179 2.55 NaN
1998 6 29 0908 11.08 37.1785 -118.1795 8.76 2.5 NaN
1998 6 29 2340 1.11 32.00117 -116.30467 6.8 2.77 NaN
1998 7 1 2008 2.56 32.75867 -115.50884 9.561 2.56 NaN
1998 7 1 2025 19.44 36.01783 -120.23633 5.36 2.57 NaN
1998 7 2 0339 50.17 36.94842 -117.51621 4.329 4.75 1604
1998 7 2 0342 21.09 36.95304 -117.51497 2.371 3.12 1604
1998 7 2 0430 54.84 36.92895 -117.54641 1.726 2.88 1604
1998 7 2 0511 31.73 36.9393 -117.51914 3.037 2.61 1604
1998 7 2 0517 41.78 36.95376 -117.51384 2.55 2.74 1604
1998 7 2 0535 56.41 36.93021 -117.54349 1.714 2.88 1604
1998 7 2 0552 23.51 36.92707 -117.54438 3.788 2.58 1604
1998 7 2 0606 39.52 37.18483 -118.2095 3 2.51 1604
1998 7 2 0743 36.8 36.94039 -117.51546 3.541 2.53 1604
1998 7 2 1035 46.38 36.95086 -117.51845 1.574 2.89 1604
1998 7 2 1044 23.96 35.44374 -118.42779 6.562 3.11 1522
1998 7 2 1534 20.07 36.935 -117.52827 2.049 2.51 1604
1998 7 2 1757 52.06 34.22739 -117.54239 8.184 2.64 NaN
1998 7 3 0214 43.91 36.8435 -117.507 2.84 2.59 1604
1998 7 3 0708 17.05 32.0517 -116.2881 7.897 2.51 NaN
1998 7 3 0742 25.26 36.94223 -117.52232 2.057 3 1604
1998 7 3 0837 37.28 37.00167 -117.51167 8.07 3.41 1604
1998 7 3 0845 42.68 36.99417 -117.5835 10.08 2.54 1604
1998 7 3 1002 40.9 36.93621 -117.52235 2.75 2.83 1604
1998 7 3 1024 35.16 36.91591 -117.51082 1.651 2.73 1604
1998 7 3 1211 23.99 36.92633 -117.54564 3.543 2.82 1604
