"nEvents" "time"
"1" 265 148.354912757874
"2" 1719 533.6928627491
"3" 117 80.3282291889191
"4" 1728 498.525284290314
"5" 1842 472.329673051834
"6" 1860 492.450768232346
"7" 219 128.385037899017
"8" 1927 519.93211889267
"9" 128 47.6329891681671
"10" 2027 587.460932016373
"11" 930 268.067747831345
"12" 2950 2568.96418094635
"13" 230 153.692769050598
"14" 1993 585.081600666046
"15" 229 188.924111127853
"16" 5198 2346.9999537468
"17" 245 172.082757711411
"18" 1751 537.148503303528
"19" 146 118.942823171616
"20" 7486 4331.83738803864
